Iter,Phi,Psi,Type
1,-117.56389,3.8695679,Acquired
1,-63.091995,-179.39557,Acquired
1,-79.83693,20.03778,Acquired
1,-60.29949,147.67633,Acquired
1,-156.97115,-179.33746,Acquired
1,68.80072,-30.639053,Acquired
1,-155.42946,155.39484,Acquired
1,-160.19547,-24.717438,Acquired
1,-119.085266,151.17273,Acquired
1,-138.20967,42.070496,Acquired
1,-178.66805,46.917374,Acquired
1,-69.1774,130.82983,Acquired
1,-154.41823,167.02301,Acquired
1,55.23973,177.89429,Acquired
1,-72.490585,-16.410156,Acquired
1,-122.091995,-161.55847,Acquired
1,66.4621,-17.725616,Acquired
1,-101.674515,71.28131,Acquired
1,-163.28992,-39.14006,Acquired
1,-157.90707,110.59369,Acquired
1,40.82379,-17.23114,Acquired
1,-53.95787,-170.36307,Acquired
1,-151.08604,179.39606,Acquired
1,-162.21616,-167.75975,Acquired
1,-59.45395,165.93509,Acquired
1,-150.05763,155.82962,Acquired
1,-68.17376,-22.884613,Acquired
1,-167.61525,140.04425,Acquired
1,-109.088036,118.1626,Acquired
1,-170.92833,-15.541611,Acquired
1,-141.15578,-36.268997,Acquired
1,-164.70076,-12.266022,Acquired
1,-161.73605,156.36981,Acquired
1,-151.69623,-176.31366,Acquired
1,49.72432,-161.76059,Acquired
1,62.02237,-71.82924,Acquired
1,-120.808586,-62.106598,Acquired
1,61.372803,-152.04741,Acquired
1,-81.9543,-10.714798,Acquired
1,-91.07366,-170.07426,Acquired
1,-149.17351,-7.927902,Acquired
1,-129.31575,27.79007,Acquired
1,-138.08781,-81.99161,Acquired
1,-131.59303,167.31476,Acquired
1,-80.02701,87.98572,Acquired
1,-146.93466,108.31427,Acquired
1,-83.87029,148.24841,Acquired
1,-156.55444,11.70874,Acquired
1,66.79074,-18.456131,Acquired
1,-140.0871,-18.35994,Acquired
1,-144.46622,-53.039505,Acquired
1,-72.95383,11.216507,Acquired
1,-163.14743,149.70648,Acquired
1,60.552597,54.650635,Acquired
1,-131.05756,-70.925125,Acquired
1,76.37247,12.558548,Acquired
1,-118.20992,172.52484,Acquired
1,-76.219734,-13.0980835,Acquired
1,-154.4359,104.474915,Acquired
1,-139.59134,179.35138,Acquired
1,-140.04362,20.818695,Acquired
1,-155.62195,167.25937,Acquired
1,-152.76634,-14.099991,Acquired
1,-54.804474,176.50388,Acquired
1,-70.3455,0.744751,Acquired
1,-143.09348,154.89606,Acquired
1,-118.32107,-3.1260376,Acquired
1,70.22722,-0.9178467,Acquired
1,55.440643,32.86888,Acquired
1,-158.68198,173.36633,Acquired
1,-162.1059,-177.80875,Acquired
1,-148.64838,151.0427,Acquired
1,-80.63362,31.632034,Acquired
1,-78.51771,7.4313965,Acquired
1,-129.36511,-35.59308,Acquired
1,-63.273346,139.47455,Acquired
1,-64.54389,153.42963,Acquired
1,-161.83395,175.95224,Acquired
1,64.20117,30.31343,Acquired
1,-168.53986,143.10449,Acquired
1,-68.207825,-50.581696,Acquired
1,-153.85884,33.61505,Acquired
1,-72.045494,10.992966,Acquired
1,-97.6969,133.60284,Acquired
1,-82.2328,39.21048,Acquired
1,-95.11183,-0.8773041,Acquired
1,-101.48109,-172.44029,Acquired
1,-57.36577,-33.89302,Acquired
1,-158.34253,164.12738,Acquired
1,70.6806,-46.344147,Acquired
1,-89.89947,144.82864,Acquired
1,-66.565125,118.49216,Acquired
1,-84.22918,117.95624,Acquired
1,-98.41575,2.4920654,Acquired
1,-88.8465,0.87901306,Acquired
1,-163.63596,126.318726,Acquired
1,-155.00505,-56.74479,Acquired
1,-74.05305,138.15393,Acquired
1,52.742188,-147.30865,Acquired
1,-68.90901,-12.453033,Acquired
1,58.992294,-51.695724,Acquired
1,-63.971558,162.46094,Acquired
1,-167.54437,176.51343,Acquired
1,-168.08524,-70.10489,Acquired
1,65.68753,-176.32602,Acquired
1,-168.53679,163.10056,Acquired
1,-137.1971,164.92517,Acquired
1,-77.363976,166.20428,Acquired
1,-81.32429,150.06406,Acquired
1,-91.70573,-46.25061,Acquired
1,-137.15555,-10.009781,Acquired
1,-139.70561,7.8547974,Acquired
1,57.592163,42.978455,Acquired
1,-131.02876,-23.611282,Acquired
1,-161.0203,132.89783,Acquired
1,-53.84868,-46.284805,Acquired
1,44.373795,-26.39096,Acquired
1,-136.16849,-32.85437,Acquired
1,-115.23417,-18.057617,Acquired
1,-157.07507,-38.7677,Acquired
1,-175.44865,136.03656,Acquired
1,-153.92204,24.415588,Acquired
1,-68.77983,149.9071,Acquired
1,56.57007,173.97845,Acquired
1,-149.7706,-14.8780365,Acquired
1,-64.86588,151.16962,Acquired
1,-124.07322,4.8632507,Acquired
1,-54.568054,-48.098328,Acquired
1,74.833435,158.34549,Acquired
1,57.867783,-41.77716,Acquired
1,-54.30139,-171.08868,Acquired
1,68.07489,-19.528427,Acquired
1,-52.716675,-63.01957,Acquired
1,-65.7603,176.83578,Acquired
1,171.4136,152.23773,Acquired
1,-154.92828,-168.62727,Acquired
1,-167.05827,162.72345,Acquired
1,-161.65489,-64.322174,Acquired
1,-55.66693,120.618774,Acquired
1,73.99371,150.47986,Acquired
1,-59.19458,111.81442,Acquired
1,-140.52611,158.6919,Acquired
1,45.61992,18.777634,Acquired
1,-116.064865,31.57695,Acquired
1,-120.66807,169.66327,Acquired
1,-121.989,-170.61531,Acquired
1,54.902893,-34.40689,Acquired
1,-131.77316,166.24237,Acquired
1,65.219696,24.658752,Acquired
1,-62.282677,134.77808,Acquired
1,-132.69377,32.08397,Acquired
1,-100.716835,-28.623352,Acquired
1,50.09671,-20.580505,Acquired
1,-140.3929,151.63855,Acquired
1,62.410446,-114.56562,Acquired
1,-136.94919,26.040009,Acquired
1,-112.20411,51.474106,Acquired
1,-142.35013,36.308014,Acquired
1,-152.78659,-177.20877,Acquired
1,-72.1037,171.32932,Acquired
1,-156.52066,-21.509308,Acquired
1,-173.28963,171.00116,Acquired
1,-177.96924,149.50287,Acquired
1,-158.21146,128.06174,Acquired
1,-132.9021,145.97687,Acquired
1,-124.35403,-147.5578,Acquired
1,-153.52728,126.055756,Acquired
1,-158.35194,156.70657,Acquired
1,-64.134056,-62.51346,Acquired
1,-60.90767,-173.71268,Acquired
1,-155.83524,2.3954773,Acquired
1,-151.53555,46.75586,Acquired
1,-54.79212,54.01671,Acquired
1,-144.52577,159.31897,Acquired
1,-78.80624,150.70593,Acquired
1,63.875015,-23.609451,Acquired
1,-63.566193,145.99744,Acquired
1,-64.9575,134.75854,Acquired
1,-171.10188,149.51642,Acquired
1,-87.99206,-22.001053,Acquired
1,-163.79715,176.59155,Acquired
1,-70.27236,-157.92735,Acquired
1,-73.007484,158.5008,Acquired
1,58.377335,52.441956,Acquired
1,-142.7902,-33.636963,Acquired
1,-72.60046,56.25685,Acquired
1,-131.52335,132.79083,Acquired
1,-156.76869,172.66968,Acquired
1,-177.27611,169.99222,Acquired
1,-153.95705,13.18988,Acquired
1,-86.706635,130.35175,Acquired
1,-156.57037,-6.19075,Acquired
1,-102.34971,153.07916,Acquired
1,-80.848114,17.513,Acquired
1,-154.50867,-30.835083,Acquired
1,-73.69055,154.15277,Acquired
1,-144.11398,178.92111,Acquired
1,-131.30496,6.34404,Acquired
1,-145.82622,25.177643,Acquired
1,62.302338,56.183365,Acquired
1,49.55487,-115.1801,Acquired
1,-168.03864,155.34836,Acquired
1,-61.925064,13.544067,Acquired
1,-84.08044,-14.214996,Acquired
1,68.20734,-32.106583,Acquired
1,-85.407814,170.23346,Acquired
1,59.237457,37.71353,Acquired
1,-126.629875,-34.77719,Acquired
1,63.473053,8.122055,Acquired
1,-148.5637,4.93956,Acquired
1,-162.10112,171.73389,Acquired
1,-171.2357,-159.6696,Acquired
1,-67.03779,-3.2802277,Acquired
1,-144.82018,-14.573959,Acquired
1,48.215027,-132.8061,Acquired
1,-96.765755,6.761017,Acquired
1,56.998154,4.265457,Acquired
1,-152.03062,-65.63231,Acquired
1,-130.73128,-5.920868,Acquired
1,-110.576324,43.944885,Acquired
1,-73.097824,22.529419,Acquired
1,-62.004784,23.712143,Acquired
1,-148.11253,-23.739868,Acquired
1,-85.636696,-24.298386,Acquired
1,63.167892,-0.543869,Acquired
1,58.577545,34.500687,Acquired
1,-56.588516,148.38678,Acquired
1,-136.08844,-173.195,Acquired
1,-173.62186,152.99539,Acquired
1,-69.36585,133.20865,Acquired
1,-156.79152,172.40958,Acquired
1,-167.13486,-177.13614,Acquired
1,-174.25331,175.1308,Acquired
1,-134.90303,44.213684,Acquired
1,-151.6638,158.05945,Acquired
1,-119.338715,163.5466,Acquired
1,-156.66234,-51.452347,Acquired
1,-72.6542,-35.365326,Acquired
1,-126.75668,16.174438,Acquired
1,-156.25943,177.20386,Acquired
1,-85.98226,21.089249,Acquired
1,-43.401733,166.4602,Acquired
1,-138.23346,55.131943,Acquired
1,-57.626167,173.3717,Acquired
1,-166.67233,151.91931,Acquired
1,-148.93123,167.76071,Acquired
1,-77.50042,59.362686,Acquired
1,-72.19461,136.3529,Acquired
1,-154.52232,150.93771,Acquired
1,-144.41293,142.14993,Acquired
1,-171.00607,-163.85641,Acquired
1,-59.29796,-19.30751,Acquired
1,63.4355,-34.920105,Acquired
1,-136.12576,-163.53273,Acquired
1,-160.65784,21.950272,Acquired
1,-75.30169,39.242706,Acquired
1,-134.47125,-165.13513,Acquired
1,52.73401,172.70734,Acquired
1,-70.38519,-175.63301,Acquired
1,-162.4397,32.392624,Acquired
1,-65.74802,-8.569794,Acquired
1,-161.67636,28.384033,Acquired
1,-95.315956,1.5339813,Acquired
1,-82.87241,117.42432,Acquired
1,55.81195,59.890472,Acquired
1,-95.20476,12.503403,Acquired
1,-144.57805,-45.18495,Acquired
1,55.658432,13.802048,Acquired
1,-156.6073,-173.76286,Acquired
1,-69.84057,10.746689,Acquired
1,-147.83101,141.81671,Acquired
1,-84.44943,169.6546,Acquired
1,-66.1353,66.84314,Acquired
1,-139.00714,40.538773,Acquired
1,-167.54895,177.15503,Acquired
1,-147.01117,114.86029,Acquired
1,-157.49762,169.82434,Acquired
1,-165.96568,-44.403717,Acquired
1,-136.98895,-31.289612,Acquired
1,65.950516,9.2803955,Acquired
1,54.19606,-174.17197,Acquired
1,-138.06519,-46.913208,Acquired
1,-156.12912,28.342194,Acquired
1,-63.11386,-7.973068,Acquired
1,-79.92698,-41.75995,Acquired
1,-72.13936,-10.412857,Acquired
1,67.3409,-17.916428,Acquired
1,-172.48445,-172.5149,Acquired
1,-98.07571,7.4628143,Acquired
1,-106.1329,13.362976,Acquired
1,-129.89235,-44.309494,Acquired
1,-84.3244,144.78885,Acquired
1,-67.06956,-29.998215,Acquired
1,-163.90582,157.66406,Acquired
1,67.07077,160.76465,Acquired
1,-56.831924,-20.876617,Acquired
1,-163.47533,-12.175293,Acquired
1,52.5726,45.572662,Acquired
1,-72.51091,44.85852,Acquired
1,61.33043,-61.477753,Acquired
1,-153.88858,25.105057,Acquired
1,-128.34756,-31.452667,Acquired
1,-71.11185,122.31326,Acquired
1,-153.85608,157.84586,Acquired
1,-151.12337,-0.9768524,Acquired
1,-171.5324,135.91464,Acquired
1,-133.71347,52.85576,Acquired
1,-125.219086,12.157501,Acquired
1,-154.4712,15.264114,Acquired
1,-82.71469,7.175247,Acquired
1,-89.16195,-21.327515,Acquired
1,-163.1462,-13.222351,Acquired
1,-136.76823,-25.757294,Acquired
1,-50.103317,148.12988,Acquired
1,-51.730057,-46.817642,Acquired
1,-147.62447,156.35815,Acquired
1,-152.86421,-19.421753,Acquired
1,-147.02069,-178.94545,Acquired
1,-98.42334,145.24957,Acquired
1,-162.45026,176.53021,Acquired
1,-147.48457,2.0707245,Acquired
1,-135.1758,44.434784,Acquired
1,-157.4584,155.67828,Acquired
1,-84.058464,165.17004,Acquired
1,-67.28961,-36.34012,Acquired
1,-124.93104,-169.37276,Acquired
1,-74.927216,-172.43791,Acquired
1,-70.42673,-172.99205,Acquired
1,-146.0583,171.13702,Acquired
1,57.9765,158.09021,Acquired
1,-140.17355,142.57703,Acquired
1,-132.92343,-7.5405426,Acquired
1,-154.05826,139.58206,Acquired
1,-149.90282,171.03171,Acquired
1,-158.37743,173.11261,Acquired
1,-136.03406,161.37915,Acquired
1,-64.59923,-49.798096,Acquired
1,-149.14758,-4.4936066,Acquired
1,60.560425,-101.78525,Acquired
1,-111.14751,177.37943,Acquired
1,58.892944,-76.36689,Acquired
1,-52.204628,-10.758957,Acquired
1,-70.30496,175.18222,Acquired
1,-76.95835,25.290085,Acquired
5,-156.07684,-9.883728,Acquired
5,-145.68445,-9.125656,Acquired
5,-71.99996,-8.3502655,Acquired
5,60.966766,41.468002,Acquired
5,-50.8815,-34.85092,Acquired
5,-62.146736,171.4241,Acquired
5,-168.83363,140.54807,Acquired
5,-154.73265,47.93866,Acquired
5,-58.415344,167.49432,Acquired
5,-121.47578,150.04172,Acquired
5,-83.35984,38.83824,Acquired
5,-178.64557,165.86514,Acquired
5,-85.05593,-33.98271,Acquired
5,-87.41231,175.09042,Acquired
5,-95.10624,152.45563,Acquired
5,46.911896,23.030075,Acquired
5,-163.34273,137.50153,Acquired
5,-90.32737,47.60446,Acquired
5,57.41278,-52.49592,Acquired
5,-146.34538,25.58139,Acquired
5,-82.01101,-172.78525,Acquired
5,-85.91652,-64.20584,Acquired
5,-43.004517,-52.428284,Acquired
5,-144.43607,165.685,Acquired
5,-146.8288,5.4150696,Acquired
5,-125.205956,25.460663,Acquired
5,-72.46823,106.283356,Acquired
5,-153.02553,26.473663,Acquired
5,-81.4945,-168.90347,Acquired
5,-156.03436,173.50897,Acquired
5,-50.728638,164.59082,Acquired
5,72.26129,31.379272,Acquired
5,-58.356644,52.200195,Acquired
5,-126.056854,4.7845,Acquired
5,-104.9728,124.22339,Acquired
5,-89.835464,24.90921,Acquired
5,-102.26797,-26.927902,Acquired
5,-157.86517,148.65659,Acquired
5,-164.62105,-37.57869,Acquired
5,-102.030426,-48.64096,Acquired
5,-139.20982,29.661423,Acquired
5,68.04202,147.55383,Acquired
5,65.62869,-151.21405,Acquired
5,-73.13573,0.86779785,Acquired
5,-47.168793,-24.579132,Acquired
5,-144.45982,159.2579,Acquired
5,-154.13808,25.448868,Acquired
5,-139.52863,-179.88281,Acquired
5,-152.7589,176.0326,Acquired
5,-120.51934,158.9249,Acquired
5,-150.62912,-33.742554,Acquired
5,-137.22198,0.9211731,Acquired
5,-103.79973,4.35701,Acquired
5,-165.27298,160.14764,Acquired
5,-94.47659,-17.665192,Acquired
5,-130.6252,20.761444,Acquired
5,-76.76648,19.224396,Acquired
5,-177.1726,111.40936,Acquired
5,68.13144,18.36824,Acquired
5,-148.96667,24.43776,Acquired
5,-160.16052,162.35785,Acquired
5,-127.488266,-14.31572,Acquired
5,39.579544,19.779877,Acquired
5,-128.11427,-1.334137,Acquired
5,62.60698,18.35884,Acquired
5,-79.25296,19.03859,Acquired
5,44.392273,-155.05109,Acquired
5,49.856842,54.22969,Acquired
5,-59.862793,-16.022903,Acquired
5,-153.01402,159.7398,Acquired
5,-95.03439,-12.599548,Acquired
5,-58.387444,134.64246,Acquired
5,-90.36898,-169.58932,Acquired
5,-51.801422,178.12811,Acquired
5,-148.91994,140.47632,Acquired
5,-57.502655,-23.552704,Acquired
5,72.59906,157.3742,Acquired
5,-156.43944,160.43887,Acquired
5,-165.50854,167.18042,Acquired
5,-161.77083,-161.55975,Acquired
5,-144.76868,-18.836807,Acquired
5,-142.09755,169.89453,Acquired
5,-124.25387,-16.590591,Acquired
5,70.47664,-11.123917,Acquired
5,-68.068596,52.698822,Acquired
5,-155.0589,39.83992,Acquired
5,-146.83446,-7.239563,Acquired
5,53.6653,-25.076569,Acquired
5,53.347855,28.536102,Acquired
5,-156.65173,176.0683,Acquired
5,-152.96765,170.28064,Acquired
5,-151.85925,158.33691,Acquired
5,-161.5071,137.87152,Acquired
