2026-01-08 01:06:47 | INFO | sample_refined | Device: cpu
2026-01-08 01:06:47 | INFO | sample_refined | Loading diffusion checkpoint from runs/day10_al_16_hpc/members/m000/checkpoints/iter_20.pt
2026-01-08 01:06:47 | INFO | sample_refined | Loading pairwise checkpoint from runs/energy_pairwise/best_model.pt
2026-01-08 01:06:48 | INFO | sample_refined | Generating 1 samples...
2026-01-08 01:06:58 | INFO | sample_refined | Batch 1: Refining...
2026-01-08 01:06:58 | INFO | sample_refined | Step 0: E_norm=4301.73 | Force_norm_pre=50873.27
2026-01-08 01:06:58 | INFO | sample_refined | Step 1: E_norm=4301.66 | Force_norm_pre=50872.74
2026-01-08 01:06:58 | INFO | sample_refined | Step 2: E_norm=4301.58 | Force_norm_pre=50872.19
2026-01-08 01:06:58 | INFO | sample_refined | Step 3: E_norm=4301.51 | Force_norm_pre=50871.67
2026-01-08 01:06:58 | INFO | sample_refined | Step 4: E_norm=4301.43 | Force_norm_pre=50871.12
2026-01-08 01:07:03 | INFO | sample_refined | Step 1000: E_norm=4225.37 | Force_norm_pre=50331.51
2026-01-08 01:07:09 | INFO | sample_refined | Step 2000: E_norm=4149.81 | Force_norm_pre=49789.43
2026-01-08 01:07:14 | INFO | sample_refined | Step 3000: E_norm=4075.04 | Force_norm_pre=49246.66
2026-01-08 01:07:20 | INFO | sample_refined | Step 4000: E_norm=4001.06 | Force_norm_pre=48702.57
2026-01-08 01:07:26 | INFO | sample_refined | Step 5000: E_norm=3927.91 | Force_norm_pre=48157.03
2026-01-08 01:07:32 | INFO | sample_refined | Step 6000: E_norm=3855.65 | Force_norm_pre=47610.28
2026-01-08 01:07:38 | INFO | sample_refined | Step 7000: E_norm=3784.22 | Force_norm_pre=47061.58
2026-01-08 01:07:44 | INFO | sample_refined | Step 8000: E_norm=3713.61 | Force_norm_pre=46510.25
2026-01-08 01:07:49 | INFO | sample_refined | Step 9000: E_norm=3643.84 | Force_norm_pre=45955.75
2026-01-08 01:07:53 | INFO | sample_refined | Step 10000: E_norm=3574.86 | Force_norm_pre=45397.17
2026-01-08 01:07:57 | INFO | sample_refined | Step 11000: E_norm=3506.74 | Force_norm_pre=44833.61
2026-01-08 01:08:01 | INFO | sample_refined | Step 12000: E_norm=3439.54 | Force_norm_pre=44263.65
2026-01-08 01:08:06 | INFO | sample_refined | Step 13000: E_norm=3373.24 | Force_norm_pre=43685.10
2026-01-08 01:08:10 | INFO | sample_refined | Step 14000: E_norm=3307.85 | Force_norm_pre=43095.89
2026-01-08 01:08:15 | INFO | sample_refined | Step 15000: E_norm=3243.47 | Force_norm_pre=42495.93
2026-01-08 01:08:21 | INFO | sample_refined | Step 16000: E_norm=3180.00 | Force_norm_pre=41885.28
2026-01-08 01:08:26 | INFO | sample_refined | Step 17000: E_norm=3117.49 | Force_norm_pre=41263.80
2026-01-08 01:08:31 | INFO | sample_refined | Step 18000: E_norm=3055.98 | Force_norm_pre=40626.98
2026-01-08 01:08:35 | INFO | sample_refined | Step 19000: E_norm=2995.44 | Force_norm_pre=39968.62
2026-01-08 01:08:40 | INFO | sample_refined | Step 20000: E_norm=2935.89 | Force_norm_pre=39287.01
