2026-01-07 21:48:29 | INFO | sample_refined | Device: cpu
2026-01-07 21:48:29 | INFO | sample_refined | Loading diffusion checkpoint from runs/day10_al_16_hpc/members/m000/checkpoints/iter_20.pt
2026-01-07 21:48:29 | INFO | sample_refined | Loading pairwise checkpoint from runs/energy_pairwise/best_model.pt
2026-01-07 21:48:29 | INFO | sample_refined | Generating 2 samples...
2026-01-07 21:48:40 | INFO | sample_refined | Batch 1: Refining...
2026-01-07 21:55:11 | INFO | sample_refined | Step 72000: E_norm=1877.49 | Force_norm_pre=23913.09
2026-01-07 21:55:17 | INFO | sample_refined | Step 73000: E_norm=1840.57 | Force_norm_pre=23487.67
2026-01-07 21:55:22 | INFO | sample_refined | Step 74000: E_norm=1804.32 | Force_norm_pre=23071.88
2026-01-07 21:55:27 | INFO | sample_refined | Step 75000: E_norm=1768.69 | Force_norm_pre=22667.41
2026-01-07 21:55:32 | INFO | sample_refined | Step 76000: E_norm=1733.69 | Force_norm_pre=22275.65
2026-01-07 21:55:37 | INFO | sample_refined | Step 77000: E_norm=1699.28 | Force_norm_pre=21896.68
2026-01-07 21:55:41 | INFO | sample_refined | Step 78000: E_norm=1665.44 | Force_norm_pre=21529.84
2026-01-07 21:55:45 | INFO | sample_refined | Step 79000: E_norm=1632.17 | Force_norm_pre=21174.49
2026-01-07 21:55:49 | INFO | sample_refined | Step 80000: E_norm=1599.46 | Force_norm_pre=20829.76
2026-01-07 21:55:53 | INFO | sample_refined | Step 81000: E_norm=1567.27 | Force_norm_pre=20499.60
2026-01-07 21:55:57 | INFO | sample_refined | Step 82000: E_norm=1535.60 | Force_norm_pre=20180.71
2026-01-07 21:56:00 | INFO | sample_refined | Step 83000: E_norm=1504.42 | Force_norm_pre=19871.18
2026-01-07 21:56:04 | INFO | sample_refined | Step 84000: E_norm=1473.72 | Force_norm_pre=19570.40
2026-01-07 21:56:07 | INFO | sample_refined | Step 85000: E_norm=1443.49 | Force_norm_pre=19277.08
2026-01-07 21:56:11 | INFO | sample_refined | Step 86000: E_norm=1413.70 | Force_norm_pre=18990.00
2026-01-07 21:56:14 | INFO | sample_refined | Step 87000: E_norm=1384.34 | Force_norm_pre=18707.92
2026-01-07 21:56:18 | INFO | sample_refined | Step 88000: E_norm=1355.42 | Force_norm_pre=18429.99
2026-01-07 21:56:21 | INFO | sample_refined | Step 89000: E_norm=1326.93 | Force_norm_pre=18155.14
2026-01-07 21:56:25 | INFO | sample_refined | Step 90000: E_norm=1298.87 | Force_norm_pre=17882.41
2026-01-07 21:56:28 | INFO | sample_refined | Step 91000: E_norm=1271.25 | Force_norm_pre=17611.20
2026-01-07 21:56:32 | INFO | sample_refined | Step 92000: E_norm=1244.05 | Force_norm_pre=17339.85
2026-01-07 21:56:35 | INFO | sample_refined | Step 93000: E_norm=1217.27 | Force_norm_pre=17067.33
2026-01-07 21:56:39 | INFO | sample_refined | Step 94000: E_norm=1190.91 | Force_norm_pre=16792.38
2026-01-07 21:56:43 | INFO | sample_refined | Step 95000: E_norm=1164.97 | Force_norm_pre=16514.05
2026-01-07 21:56:47 | INFO | sample_refined | Step 96000: E_norm=1139.46 | Force_norm_pre=16232.32
2026-01-07 21:56:50 | INFO | sample_refined | Step 97000: E_norm=1114.39 | Force_norm_pre=15949.30
2026-01-07 21:56:54 | INFO | sample_refined | Step 98000: E_norm=1089.76 | Force_norm_pre=15670.98
2026-01-07 21:56:58 | INFO | sample_refined | Step 99000: E_norm=1065.55 | Force_norm_pre=15407.66
2026-01-07 21:57:01 | INFO | sample_refined | Step 99999: E_norm=1041.77 | Force_norm_pre=15169.82
2026-01-07 21:57:01 | INFO | sample_refined | Saved refined results to runs/loop_b_refinement_16_local/refined_results.pt
